34.228.207.188 - - "2019-04-09 04:56:02" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/39 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:56:17" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/50 200 "com.plumanalytics"
66.249.64.73 bot - "2019-04-09 04:56:20" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/98 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
34.228.207.188 - - "2019-04-09 04:56:32" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/99 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:56:47" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/18 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:57:02" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/80 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:57:17" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/34 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:57:32" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/97 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:57:47" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/13 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:58:02" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/29 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:58:17" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/92 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:58:32" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/8 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:58:47" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/24 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:59:02" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/40 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:59:17" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/56 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:59:32" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/51 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:59:47" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/100 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:00:02" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/19 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:00:17" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/81 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:00:32" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/35 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:00:47" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/98 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:01:02" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/14 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:01:17" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/30 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:01:32" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/93 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:01:47" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/73 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:02:02" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/25 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:02:17" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/57 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:02:32" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/88 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:02:47" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/9 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:03:02" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/41 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:03:17" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/3 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:03:32" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/52 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:03:47" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/101 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:04:02" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/20 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:04:17" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/82 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:04:32" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/36 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:04:47" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/15 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:05:02" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/75 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:05:17" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/31 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:05:32" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/94 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:05:47" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/10 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:06:02" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/58 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:06:17" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/26 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:06:32" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/89 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:06:47" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/42 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:07:02" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/4 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:07:17" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/53 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:07:32" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/102 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:07:47" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/83 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:08:02" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/37 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:08:17" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/48 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:08:32" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/21 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:08:47" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/16 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:09:02" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/78 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:09:17" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/95 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:09:32" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/11 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:09:47" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/32 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:10:02" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/59 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:10:17" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/27 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:10:32" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/90 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:10:47" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/43 200 "com.plumanalytics"
157.55.39.171 bot - "2019-04-09 05:14:29" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/24 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.64.73 bot - "2019-04-09 05:22:24" https://revistas.ujcm.edu.pe/index.php/rctd/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.73 bot - "2019-04-09 05:22:44" https://revistas.ujcm.edu.pe/index.php/rctd/issue/view/7 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.73 bot - "2019-04-09 05:23:06" https://revistas.ujcm.edu.pe/index.php/rctd/issue/view/7 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.73 bot - "2019-04-09 05:27:32" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/98 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.73 bot - "2019-04-09 05:27:45" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/98 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.73 bot - "2019-04-09 05:47:34" https://revistas.ujcm.edu.pe/index.php/rctd/article/download/90/74 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.75 bot - "2019-04-09 05:48:00" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/10 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.73 bot - "2019-04-09 05:55:46" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/97 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.77 bot - "2019-04-09 05:55:47" https://revistas.ujcm.edu.pe/index.php/rctd/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
