54.210.173.210 - - "2018-02-21 02:05:13" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/50 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 02:06:13" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/80 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 02:09:19" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/49 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 02:14:28" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/78 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 02:15:29" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/39 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 02:16:29" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/25 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
180.97.237.9 - - "2018-02-21 02:23:40" http://revistas.ujcm.edu.pe/index.php/rctd/index 200 ""
54.210.173.210 - - "2018-02-21 02:28:03" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/18 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 02:29:04" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/20 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
200.121.220.208 - - "2018-02-21 02:30:09" http://revistas.ujcm.edu.pe/index.php/rctd/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:58.0) Gecko/20100101 Firefox/58.0"
200.121.220.208 - - "2018-02-21 02:32:18" http://revistas.ujcm.edu.pe/index.php/rctd/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:58.0) Gecko/20100101 Firefox/58.0"
54.210.173.210 - - "2018-02-21 02:36:31" http://revistas.ujcm.edu.pe/index.php/rctd/issue/view/5 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 02:55:01" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/71 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 02:56:01" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/73 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 02:57:01" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/83 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 02:58:03" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/75 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 02:59:03" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/84 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 03:00:03" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/85 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 03:01:04" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/81 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 03:02:04" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/82 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
177.228.10.58 - - "2018-02-21 03:36:24" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/8/5 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
191.102.239.13 - - "2018-02-21 03:43:21" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/11/8 200 "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.167 Safari/537.36"
201.151.181.98 - - "2018-02-21 03:49:44" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/48/45 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 Edge/16.16299"
54.210.173.210 - - "2018-02-21 04:45:40" http://revistas.ujcm.edu.pe/index.php/rctd/issue/view/4 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 04:46:10" http://revistas.ujcm.edu.pe/index.php/rctd/issue/view/1 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
179.7.68.152 - - "2018-02-21 06:01:15" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/8/5 200 "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.167 Safari/537.36"
54.210.173.210 - - "2018-02-21 06:30:17" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/45 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
40.77.167.12 bot - "2018-02-21 06:31:17" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/22 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
